Topic,Count,Name,Representation,Representative_Docs
-1,46,-1_mango_milk_frozen_cup,"['mango', 'milk', 'frozen', 'cup', 'coconut', 'smoothie recipe', 'use', 'turmeric', 'erewhon', 'ice']","['mango smoothie recipe - 1 large frozen banana - mango fresh or frozen - ice cubes - orange juice - milk i use almond milk - 1 tsp turmeric enjoy healthy healthylifestyle smoothie smoothieideas mangosmoothie', 'mango smoothie recipe - 1 large frozen banana - mango fresh or frozen - ice cubes - orange juice - milk i use almond milk - 1 tsp turmeric enjoy healthy healthylifestyle smoothie smoothieideas mangosmoothie', 'mango smoothie recipe - 1 large frozen banana - mango fresh or frozen - ice cubes - orange juice - milk i use almond milk - 1 tsp turmeric enjoy healthy healthylifestyle smoothie smoothieideas mangosmoothie']"
0,41,0_fyp_blender_healthy_neuer,"['fyp', 'blender', 'healthy', 'neuer', 'morningroutine', 'healthy fyp', 'smoothierecipes healthy', 'recipe', 'smoothies smoothierecipe', 'morning']","['the best apricot smoothie recipe smoothie healthy morningroutine recipes healthyrecipes fyp foryou shorts', 'decided to bring something tropical to yall page in this cold weather recipe is in the video smoothies ninjablender smoothierecipes healthy fyp healthysmoothie', 'decided to bring something tropical to yall page in this cold weather recipe is in the video smoothies ninjablender smoothierecipes healthy fyp healthysmoothie']"
1,36,1_di_la_az_hat,"['di', 'la', 'az', 'hat', 'le', 'sz', 'si', 'konyan hat', 'konyan', 'una']","['3 smoothie bowls queste sono tre smoothie bowls cremose proprio come un gelato che dovete assolutamente provare con la bella stagione lo smoothie un frullato di frutta congelata super colorato e nutriente vi potete sbizzarrire le combinazioni e i toppings ecco qui tre idee smoothie caff cacao e tahina -2 banane congelate -una tazzina di caff -un cucchiaio abbondante di cacao amaro -un cucchiaio di tahina smoothie alla fragola -150g fragole congelate -1 banana congelata -un pezzetto di barbabietola per dare pi colore -un goccio di latte vegetale smoothie al gusto cookie -1 banana congelata e 1 2 -100g ceci gi cotti sciacquati -un quadratino di cioccolato fondente -cannella qb -un cucchiaino di burro di arachidi tips 1 taglia le banane a pezzetti e congelale per almeno 7 ore o una notte intera 2 per ottenere una consistenza super densa aggiungi poco liquido quanto basta per azionare il frullatore 3 usa un frullatore o un mixer potente non preparare lo smoothie la sera prima o si scioglier preparalo la mattina stessa per avere la giusta consistenza 4 alternativamente puoi farne in grande quantit e congelare lo smoothie negli stampini per ghiaccio per averli sempre pronti all uso quando vuoi prendi i cubetti di smoothie e rifrullali rifrullali 5 questa la base per renderlo pi saziante puoi unire yogurt di soia semi di lino fiocchi di avena proteine in polvere e sbizzarrirti con i toppings cereali granola burro di frutta secca smoothie smoothiebowl colazione merenda italiavegan', 'fony s smoothie hozz val k 1 5 b gre fagyasztott fonya f l fagyasztott ban n 1 ek chia mag 1 ek frissen facsart citroml 1 tk reszelt bio citrom h ja f l tk fah j 1 5 b gre cukrozatlan n v nyi tej elk sz t s a hozz val kat sszeturmixoljuk az alapanyagok j t kony hat sai szervezetedre a teljess g ig nye n lk l fonya szuper antioxid ns-forr s az antioxid nsok megv dik a szervezetet a k ros szabad gy k k kialakul s t l amik sok komoly betegs g mellett a r ncok kialakul s rt is felel s k er s ti az immunrendszert tele van rosttal gy j t konyan hat a b lrendszerre is serkenti az agym k d st j t konyan hat a sz v s rrendszerre ban n k liumban s magn ziumban gazdag j t kony hat ssal van a v rnyom sra s a sz vre j t konyan hat az em szt sre a ban n stimul lja a sejtburj nz st ez ltal megvastag tja a gyomor ny lkah rty j t s megv d a gyomorsavt l fah j j t konyan hat a v rcukorszintre j t konyan hat az agym k d sre citrom gazdag c-vitamin forr s feloldja a h gysavat s m s k ros anyagokat tiszt tja az ep t l nk ti a m jm k d st semleges ti a szabadgy k ket chia mag immuner s t em szt sseg t b ltiszt t hat s magas kalcium vas foszfor magn zium s r z forr s jav tja a sz v eg szs g t seg thet be ll tani az inzulin szintet mivel magas rosttartalm nak k sz nhet en lass tja a szervezetben a sz nhidr tok lebont s t s cukorr alak t s t gy megel zi az tkez sek ut ni hirtelen v rcukorszint emelked st husz rvivien let jratervezve vitalland vitallandrecept recept eg szs g eg szs gesrecept eg szs gmeg rz s fogy s di ta di t srecept smoothie motiv ci fonya ban n fah j chiamag citrom k kusztej', 'fony s smoothie hozz val k 1 5 b gre fagyasztott fonya f l fagyasztott ban n 1 ek chia mag 1 ek frissen facsart citroml 1 tk reszelt bio citrom h ja f l tk fah j 1 5 b gre cukrozatlan n v nyi tej elk sz t s a hozz val kat sszeturmixoljuk az alapanyagok j t kony hat sai szervezetedre a teljess g ig nye n lk l fonya szuper antioxid ns-forr s az antioxid nsok megv dik a szervezetet a k ros szabad gy k k kialakul s t l amik sok komoly betegs g mellett a r ncok kialakul s rt is felel s k er s ti az immunrendszert tele van rosttal gy j t konyan hat a b lrendszerre is serkenti az agym k d st j t konyan hat a sz v s rrendszerre ban n k liumban s magn ziumban gazdag j t kony hat ssal van a v rnyom sra s a sz vre j t konyan hat az em szt sre a ban n stimul lja a sejtburj nz st ez ltal megvastag tja a gyomor ny lkah rty j t s megv d a gyomorsavt l fah j j t konyan hat a v rcukorszintre j t konyan hat az agym k d sre citrom gazdag c-vitamin forr s feloldja a h gysavat s m s k ros anyagokat tiszt tja az ep t l nk ti a m jm k d st semleges ti a szabadgy k ket chia mag immuner s t em szt sseg t b ltiszt t hat s magas kalcium vas foszfor magn zium s r z forr s jav tja a sz v eg szs g t seg thet be ll tani az inzulin szintet mivel magas rosttartalm nak k sz nhet en lass tja a szervezetben a sz nhidr tok lebont s t s cukorr alak t s t gy megel zi az tkez sek ut ni hirtelen v rcukorszint emelked st husz rvivien let jratervezve vitalland vitallandrecept recept eg szs g eg szs gesrecept eg szs gmeg rz s fogy s di ta di t srecept smoothie motiv ci fonya ban n fah j chiamag citrom k kusztej']"
2,25,2_viral_fyp_recipe_fyp viral,"['viral', 'fyp', 'recipe', 'fyp viral', 'foryoupage', 'foryou', 'foryou foryoupage', 'recipe recipe', 'recipe foryou', 'viral recipe']","['healthy smoothie smoothie fyp viral recipe recipe foryou foryoupage', 'healthy smoothie smoothie fyp viral recipe recipe foryou foryoupage', 'healthy smoothie smoothie fyp viral recipe recipe foryou foryoupage']"
3,22,3_fruit_make_just_butter,"['fruit', 'make', 'just', 'butter', 'ziploc', 'way', 'recipes', 'food', 'recommend', 'plantbased']","['head to samdoesherbest com for all 5 healthy smoothie recipes if you re guilty of wasting way too much money buying your smoothies out same i highly recommend you give this incredibly quick and easy smoothie a try just 4 simple ingredients plus a scoop of protein powder if you d like an extra protein boost here s what you ll need to make it 1 frozen banana 1 2 cup frozen strawberries 1 tablespoons peanut butter or almond butter 1 cup milk i used almond milk healthyrecipes healthyliving plantbased smoothies', 'head to samdoesherbest com for all 5 healthy smoothie recipes if you re guilty of wasting way too much money buying your smoothies out same i highly recommend you give this incredibly quick and easy smoothie a try just 4 simple ingredients plus a scoop of protein powder if you d like an extra protein boost here s what you ll need to make it 1 frozen banana 1 2 cup frozen strawberries 1 tablespoons peanut butter or almond butter 1 cup milk i used almond milk healthyrecipes healthyliving plantbased smoothies', 'head to samdoesherbest com for all 5 healthy smoothie recipes if you re guilty of wasting way too much money buying your smoothies out same i highly recommend you give this incredibly quick and easy smoothie a try just 4 simple ingredients plus a scoop of protein powder if you d like an extra protein boost here s what you ll need to make it 1 frozen banana 1 2 cup frozen strawberries 1 tablespoons peanut butter or almond butter 1 cup milk i used almond milk healthyrecipes healthyliving plantbased smoothies']"
4,20,4_cup_11g_calories_greek,"['cup', '11g', 'calories', 'greek', 'greek yogurt', 'yogurt', 'banana', 'fiber', 'weight', 'chia seeds']","[""get more amazing smoothie recipes by joining the 21-day smoothie diet challenge lose weight reduce bloating improve skin increase energy levels and feel your best link in my bio satisfy your cravings guilt-free with my strawberry milkshake smoothie this creamy blend of frozen strawberries banana chia seeds greek yogurt and almond milk is a tasty treat that supports weight loss goals with just 335 calories it's packed with 22g of protein and 11g of fiber to keep you feeling full and satisfied longer recipe - 1 cup frozen strawberries - 1 ripe banana - 1 tbsp chia seeds soaked - 1 2 cup greek yogurt - 1 cup favorite milk total calories 335 c 61g p 22g f 11g fiber 11g smoothierecipe weightloss healthy healthyrecipe strawberrymilkshake"", ""get more amazing smoothie recipes by joining the 21-day smoothie diet challenge lose weight reduce bloating improve skin increase energy levels and feel your best link in my bio satisfy your cravings guilt-free with my strawberry milkshake smoothie this creamy blend of frozen strawberries banana chia seeds greek yogurt and almond milk is a tasty treat that supports weight loss goals with just 335 calories it's packed with 22g of protein and 11g of fiber to keep you feeling full and satisfied longer recipe - 1 cup frozen strawberries - 1 ripe banana - 1 tbsp chia seeds soaked - 1 2 cup greek yogurt - 1 cup favorite milk total calories 335 c 61g p 22g f 11g fiber 11g smoothierecipe weightloss healthy healthyrecipe strawberrymilkshake"", ""get more amazing smoothie recipes by joining the 21-day smoothie diet challenge lose weight reduce bloating improve skin increase energy levels and feel your best link in my bio satisfy your cravings guilt-free with my strawberry milkshake smoothie this creamy blend of frozen strawberries banana chia seeds greek yogurt and almond milk is a tasty treat that supports weight loss goals with just 335 calories it's packed with 22g of protein and 11g of fiber to keep you feeling full and satisfied longer recipe - 1 cup frozen strawberries - 1 ripe banana - 1 tbsp chia seeds soaked - 1 2 cup greek yogurt - 1 cup favorite milk total calories 335 c 61g p 22g f 11g fiber 11g smoothierecipe weightloss healthy healthyrecipe strawberrymilkshake""]"
5,19,5_fyp smoothie_smoothiebowl_smoothie smoothiebowl_fyp,"['fyp smoothie', 'smoothiebowl', 'smoothie smoothiebowl', 'fyp', 'smoothie fyp', 'daily smoothie', 'smoothiebowl need', 'need daily', 'daily', 'stitch twincoast']","['need my daily smoothie fyp smoothie smoothiebowl', 'need my daily smoothie fyp smoothie smoothiebowl', 'need my daily smoothie fyp smoothie smoothiebowl']"
6,19,6_cup_coconut_berry_pineapple,"['cup', 'coconut', 'berry', 'pineapple', 'cream', 'milk', 'frozen', 'tablespoon', 'coconut cream', 'honey']","['replying to sheria2022 hands down one of my faveeeee smoothies even better when i make it myselffff ingredients 1 cup pineapple 1 cup strawberries 1 tablespoon agave 1 tablespoon coconut cream 1 tablespoons white chocolate coconut water smoothie smoothierecipe breakfastsmoothie', 'replying to sheria2022 hands down one of my faveeeee smoothies even better when i make it myselffff ingredients 1 cup pineapple 1 cup strawberries 1 tablespoon agave 1 tablespoon coconut cream 1 tablespoons white chocolate coconut water smoothie smoothierecipe breakfastsmoothie', 'replying to sheria2022 hands down one of my faveeeee smoothies even better when i make it myselffff ingredients 1 cup pineapple 1 cup strawberries 1 tablespoon agave 1 tablespoon coconut cream 1 tablespoons white chocolate coconut water smoothie smoothierecipe breakfastsmoothie']"
7,17,7_frozen_orange_summer_orange juice,"['frozen', 'orange', 'summer', 'orange juice', 'juice', 'ingredients', 'strawberries', 'cup orange', 'pineapple', 'cups frozen']","['we got smoothies at home this summer shes thick too only using 4 ingredients frozen strawberries frozen raspberries frozen mangos fresh pressed orange juice smoothies fypp healthysmoothie viral ninjablender', 'we got smoothies at home this summer shes thick too only using 4 ingredients frozen strawberries frozen raspberries frozen mangos fresh pressed orange juice smoothies fypp healthysmoothie viral ninjablender', 'we got smoothies at home this summer shes thick too only using 4 ingredients frozen strawberries frozen raspberries frozen mangos fresh pressed orange juice smoothies fypp healthysmoothie viral ninjablender']"
8,16,8_start_weight loss_loss_weight,"['start', 'weight loss', 'loss', 'weight', '21', '21 days', 'smoothie diet', 'lose', 'diet', 'days']","[""how to buid your healthy smoothie which's one you choose the green smoothie to cleanse your body of toxins get rid of bloating help flat belly fat improve your skin increase energy and reset your taste buds to naturally desire healthy foods start replacing your breakfast with it if you need to lose a few pounds comment below love smoothie to receive amazing weight loss smoothie recipes like this or you can get our simple smoothie diet to get started if you don't know how to start smoothie diet properly or do you want to lose possibly 5-12 lbs in the first week alone with smoothie join our 21-days smoothie challenge now to start a successful weight-loss journey and enjoy a new lifestyle link in bio greensmoothies slimevids easyvegan plantbasedfoods healthyjuice slimeworld proats veganpancakes fruitsmoothie snackideas healthybreakfastideas juicedetox vegannutrition vegansmoothie veganfoodblog smoothielove veganbowls wholefoodsplantbased vegandonuts polahidupsehat healthysmoothie slimebubbles veganiseasy slimecrunch smoothielover proteinsmoothie oatmealbowl smoothieoftheday plantbasedmeals juicingforhealth"", ""how to buid your healthy smoothie which's one you choose the green smoothie to cleanse your body of toxins get rid of bloating help flat belly fat improve your skin increase energy and reset your taste buds to naturally desire healthy foods start replacing your breakfast with it if you need to lose a few pounds comment below love smoothie to receive amazing weight loss smoothie recipes like this or you can get our simple smoothie diet to get started if you don't know how to start smoothie diet properly or do you want to lose possibly 5-12 lbs in the first week alone with smoothie join our 21-days smoothie challenge now to start a successful weight-loss journey and enjoy a new lifestyle link in bio greensmoothies slimevids easyvegan plantbasedfoods healthyjuice slimeworld proats veganpancakes fruitsmoothie snackideas healthybreakfastideas juicedetox vegannutrition vegansmoothie veganfoodblog smoothielove veganbowls wholefoodsplantbased vegandonuts polahidupsehat healthysmoothie slimebubbles veganiseasy slimecrunch smoothielover proteinsmoothie oatmealbowl smoothieoftheday plantbasedmeals juicingforhealth"", ""how to buid your healthy smoothie which's one you choose the green smoothie to cleanse your body of toxins get rid of bloating help flat belly fat improve your skin increase energy and reset your taste buds to naturally desire healthy foods start replacing your breakfast with it if you need to lose a few pounds comment below love smoothie to receive amazing weight loss smoothie recipes like this or you can get our simple smoothie diet to get started if you don't know how to start smoothie diet properly or do you want to lose possibly 5-12 lbs in the first week alone with smoothie join our 21-days smoothie challenge now to start a successful weight-loss journey and enjoy a new lifestyle link in bio greensmoothies slimevids easyvegan plantbasedfoods healthyjuice slimeworld proats veganpancakes fruitsmoothie snackideas healthybreakfastideas juicedetox vegannutrition vegansmoothie veganfoodblog smoothielove veganbowls wholefoodsplantbased vegandonuts polahidupsehat healthysmoothie slimebubbles veganiseasy slimecrunch smoothielover proteinsmoothie oatmealbowl smoothieoftheday plantbasedmeals juicingforhealth""]"
